Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,Edge,,CORESIX
CGS1335,76.2,1.1,20/10,10,$83.40 ,$77.00 ,$71.50 ,$66.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$50.00 
CGS1336,100,0.5,80/50,10,$53.10 ,$49.00 ,$45.50 ,$42.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$31.90 
CGS1337,100,0.5,60/40,10,$58.70 ,$54.20 ,$50.30 ,$47.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$35.20 
CGS1338,100,0.5,40/20,10,$63.80 ,$58.90 ,$54.70 ,$51.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$38.30 
CGS1339,100,0.5,20/10,10,$73.30 ,$67.70 ,$62.90 ,$58.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$44.00 
CGS1340,100,0.7,80/50,10,$51.40 ,$47.50 ,$44.10 ,$41.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$30.90 
CGS1341,100,0.7,60/40,10,$56.80 ,$52.40 ,$48.70 ,$45.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$34.10 
CGS1342,100,0.7,40/20,10,$64.80 ,$59.80 ,$55.50 ,$51.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$38.90 
CGS1343,100,0.7,20/10,10,$69.90 ,$64.50 ,$59.90 ,$55.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$41.90 
CGS1344,100,1.1,80/50,10,$63.60 ,$58.70 ,$54.50 ,$50.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$38.20 
CGS1345,100,1.1,60/40,10,$72.30 ,$66.80 ,$62.00 ,$57.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$43.40 
CGS1346,100,1.1,40/20,10,$82.70 ,$76.30 ,$70.90 ,$66.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$49.60 
CGS1347,100,1.1,20/10,10,$96.50 ,$89.10 ,$82.70 ,$77.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$57.90 
CGS1348,150,0.5,80/50,10,$83.60 ,$77.20 ,$71.70 ,$66.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$50.20 
CGS1349,150,0.5,60/40,10,$91.30 ,$84.20 ,$78.20 ,$73.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$54.80 
CGS1350,150,0.5,40/20,10,$100.10 ,$92.40 ,$85.80 ,$80.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$60.10 
CGS1351,150,0.5,20/10,10,$110.40 ,$101.90 ,$94.70 ,$88.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$66.30 
CGS1352,150,0.7,80/50,10,$79.30 ,$73.20 ,$68.00 ,$63.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$47.60 
CGS1353,150,0.7,60/40,10,$82.10 ,$75.80 ,$70.40 ,$65.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$49.30 
CGS1354,150,0.7,40/20,10,$94.50 ,$87.20 ,$81.00 ,$75.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$56.70 
CGS1355,150,0.7,20/10,10,$110.50 ,$102.00 ,$94.70 ,$88.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$66.30 
CGS1356,150,1.1,80/50,10,$102.90 ,$95.00 ,$88.20 ,$82.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$61.80 
CGS1357,150,1.1,60/40,10,$106.30 ,$98.20 ,$91.10 ,$85.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$63.80 
CGS1358,150,1.1,40/20,10,$122.40 ,$113.00 ,$105.00 ,$98.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,CNC Ground,,$73.50 
