Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CGS1544,200,1.1,80/50,10,$62.80,$58.00,$53.80,$50.30,SEMI Notch,+/- 50um,+/- 0.20mm,$37.65
CGS1545,200,1.1,60/40,10,$67.70,$62.50,$58.00,$54.20,SEMI Notch,+/- 50um,+/- 0.20mm,$40.59
CGS1546,200,1.1,40/20,10,$77.80,$71.80,$66.70,$62.20,SEMI Notch,+/- 50um,+/- 0.20mm,$46.64
CGS1547,200,1.1,20/10,10,$90.90,$83.90,$77.90,$72.70,SEMI Notch,+/- 50um,+/- 0.20mm,$54.48
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
