Item Number,Diameter (mm),Thickness (min),Thickness (max),Finish,Min Quantity,Available,Online Price,Price Each,Conductivity,Dopant,Orientation,Res (min),Res (max),Grade,Surface,Flat,Particles,TTV,Bow,Material,,Film,Film Thickness,Base Price,WRS Store Name,WRS Part #,On Hand
18508,100 mm,500,550,SSP,25,25,25,$33.33 ,P,Boron,<100>,10,20,Prime,SSP,2 SEMI Flats,,10,40,CZ,,Thermal Oxide,1000,$27.00 ,4POX-008,4P010-20SSP-INV/10KA,25
18532,100 mm,500,550,SSP,25,51,25,$33.33 ,P,Boron,<100>,10,20,Prime,SSP,2 SEMI Flats,,10,40,CZ,,Thermal Oxide,1000,$27.00 ,4POX-005,4P010-20SSP-INV/1KA,51
18556,100 mm,500,550,SSP,25,50,25,$33.33 ,P,Boron,<100>,10,20,Prime,SSP,2 SEMI Flats,,10,40,CZ,,Thermal Oxide,3000,$27.00 ,4POX-006,4P010-20SSP-INV/3KA,50
18521,100 mm,500,550,SSP,25,50,25,$33.33 ,P,Boron,<100>,10,20,Prime,SSP,2 SEMI Flats,,10,40,CZ,,Thermal Oxide,5000,$27.00 ,4POX-007,4P010-20SSP-INV/5KA,50
4176,100 mm,500,550,SSP,25,374,15,$20.00 ,P,Boron,<100>,5,10,Prime,SSP,2 SEMI Flats,<10@.3,10,40,CZ,,,,$16.00 ,4P0SSP-004,4P05-10SSP-INV,374
9951,100 mm,475,575,SSP,25,228,14,$18.67 ,P,Boron,<100>,5,10,Test,SSP,2 SEMI Flats,,,,CZ,,,,$15.00 ,4P0SSP-008,4P05-10TST,228
15813,150 mm,650,700,SSP,25,25,32,$42.67 ,N,Antimony,<100>,0.005,0.02,Prime,SSP,1 SEMI Flat,<20@.3,10,40,CZ,,,,$32.00 ,6N0SSP-004,6N0.005-.02SSP-INV,25
15811,150 mm,650,700,SSP,25,,26,$34.67 ,N,Phosphorus,<100>,10,20,Prime,SSP,2 SEMI Flats,<10@.3,10,40,CZ,,,,$27.00 ,6N0SSP-002,6N010-20SSP-INV,
6543,150 mm,610,640,SSP,25,972,22,$29.33 ,N,Antimony,<111> Off 3°,0.008,0.01,Prime,SSP,1 SEMI Flat,,,,CZ,,,,$22.00 ,6N1SSP-001,6N1.008-.017SSP-INV,972
15816,150 mm,650,700,SSP,25,2,32,$42.67 ,P,Boron,<100>,0.01,0.02,Prime,SSP,1 SEMI Flat,<20@.3,10,40,CZ,,,,$32.00 ,6P0SSP-001,6P0.005-.02SSP-INV,2
15814,150 mm,650,700,SSP,25,,27,$36.00 ,P,Boron,<100>,1,10,Prime,SSP,1 SEMI Flat,<20.3,10,40,CZ,,,,$27.00 ,6P0SSP-002,6P01-10SSP-INV,
15815,150 mm,650,700,SSP,25,50,25,$33.33 ,P,Boron,<100>,10,20,Prime,SSP,1 SEMI Flat,<20@.3,10,40,CZ,,,,$27.00 ,6P0SSP-003,6P010-20SSP-INV,50
