Item Number,Description,OD (mm),OD Tol,Wall,Wall Tol,ID (mm),Stock Length,Pcs/Case,Stmch,Price Each
246540,TUBING (CAPILLARY),7.5,0.4,2.88,,1.75,1500,110,$2.64 ,$3.77 
246560,TUBING (CAPILLARY),9,0.4,3.31,,2.39,1500,81,$3.66 ,$5.23 
247300,TUBING (MEDIUM) ,6.3,0.3,1.2,0.1,4.02,1500,145,$1.29 ,$1.84 
247310,TUBING (MEDIUM) ,12.7,0.3,1.6,0.16,9.5,1500,81,$2.85 ,$4.07 
247315,TUBING (MEDIUM) ,15.9,0.3,1.6,0.16,12.7,1500,49,$4.10 ,$5.86 
247320,TUBING (MEDIUM) ,19,0.3,1.6,0.16,15.8,1500,36,$4.69 ,$6.70 
247330,TUBING (MEDIUM) ,25.4,0.41,2.4,0.23,20.62,1500,25,$9.36 ,$13.37 
247340,TUBING (MEDIUM) ,31.8,0.7,2.4,0.23,27,1500,16,$12.04 ,$17.20 
247350,TUBING (MEDIUM) ,38.1,0.7,2.4,0.23,33.3,1500,16,$15.46 ,$22.09 
247360,TUBING H W,22.2,0.41,3.2,0.36,15.84,1500,36,$10.33 ,$14.76 
247370,TUBING (MEDIUM) ,44.4,1,2.4,0.23,39.72,1500,9,$17.85 ,$25.50 
247380,TUBING (MEDIUM) ,50.8,1,3.2,0.3,44.4,1500,9,$31.48 ,$44.97 
247390,TUBING (MEDIUM) ,57.1,1,3.2,0.33,50.8,1500,4,$38.47 ,$54.96 
247400,TUBING (MEDIUM) ,63.5,1.35,3.2,0.33,57.1,1500,4,$42.84 ,$61.20 
247410,TUBING (MEDIUM) ,69.8,1.42,3.2,0.33,63.5,1500,8,$45.52 ,$65.03 
247420,TUBING (MEDIUM) ,76.2,1.5,3.2,0.33,69.8,1500,4,$54.73 ,$78.19 
247430,TUBING (MEDIUM) ,82.5,1.57,3.2,0.33,76.1,1500,4,$61.80 ,$88.29 
247440,TUBING (MEDIUM) ,88.9,1.65,3.2,0.33,82.5,1500,4,$68.00 ,$97.14 
247450,TUBING (MEDIUM) ,101.6,1.78,4.8,0.48,92.04,1500,3,$122.55 ,$175.07 
247460,TUBING (MEDIUM) ,114.3,1.8,4.8,0.48,104.7,1500,3,$140.55 ,$200.79 
247500,TUBING H W,12.7,0.3,2.4,0.2,7.9,1500,81,$4.04 ,$5.77 
247520,TUBING H W,25.4,0.4,4,0.4,17.4,1500,25,$14.83 ,$21.19 
247530,TUBING H W,31.7,0.7,4,0.4,23.7,1500,16,$18.96 ,$27.09 
247540,TUBING H W,38.1,0.7,4,0.4,30.1,1500,16,$28.03 ,$40.04 
247550,TUBING H W,44.4,1,4,0.4,36.4,1500,9,$37.00 ,$52.86 
247560,TUBING H W,50.8,1,4.8,0.5,41.2,1500,9,$51.08 ,$72.97 
247570,TUBING H W,57.1,1,4.8,0.5,47.5,1500,4,$60.31 ,$86.16 
247580,TUBING H W,63.5,1.35,4.8,0.5,53.9,1500,4,$70.79 ,$101.13 
247590,TUBING H W,69.9,1.42,4.8,0.5,60.3,1500,4,$165.15 ,$235.93 
247600,TUBING H W,76.2,1.5,4.8,0.5,66.6,1500,4,$88.33 ,$126.19 
247610,TUBING H W,82.6,1.57,4.8,0.5,73,1500,4,$97.62 ,$139.46 
247620,TUBING H W,88.9,1.65,4.8,0.5,79.3,1500,4,$110.79 ,$158.27 
247630,TUBING H W,101.6,1.65,6.4,0.64,88.8,1500,3,$177.39 ,$253.41 
247640,TUBING H W,114.3,1.65,6.4,0.64,101.5,1500,3,$203.06 ,$290.09 
247650,TUBING H W,9.5,0.3,2,0.2,5.5,1500,68,$3.10 ,$4.43 
247660,TUBING H W,15.9,0.3,2.4,0.2,11.1,1500,49,$5.51 ,$7.87 
247670,TUBING H W,127,1.65,6.4,0.64,114.2,1500,3,$227.58 ,$325.11 
247680,TUBING H W,139.7,2.01,6.4,0.64,126.9,1500,2,$246.24 ,$351.77 
247690,TUBING H W,152.4,2,7.9,0.9,136.6,1500,1,$343.40 ,$490.57 
247700,TUBING H W,165.1,2,7.9,0.9,149.3,1500,1,$355.56 ,$507.94 
249200,ROD,25.4,1,,,,1500,9,$37.28 ,$53.26 
249210,ROD,31.7,1.3,,,,1500,4,$76.22 ,$108.89 
249211,ROD,38.1,1.7,,,,1500,4,$118.39 ,$169.13 
249212,ROD,11,0.4,,,,1500,50,$5.41 ,$7.73 
249213,ROD,45.7,2.4,,,,1500,4,$183.56 ,$262.23 
249250,ROD,12.7,0.5,,,,1500,36,$7.39 ,$10.56 
249260,ROD,15.9,0.6,,,,1500,16,$12.31 ,$17.59 
249270,ROD,19,0.8,,,,1500,16,$17.55 ,$25.07 
249400,ROD,10,0.4,,,,1500,64,$4.42 ,$6.31 
249430,ROD,3,0.4,,,,1500,700,$0.63 ,$0.90 
249440,ROD,4,0.4,,,,1500,400,$1.00 ,$1.43 
249450,ROD,5,0.4,,,,1500,256,$1.45 ,$2.07 
249460,ROD,6,0.4,,,,1500,170,$1.61 ,$2.30 
249470,ROD,7,0.4,,,,1500,121,$2.15 ,$3.07 
249480,ROD,8,0.4,,,,1500,100,$2.83 ,$4.04 
249490,ROD,9,0.4,,,,1500,81,$3.61 ,$5.16 
