Item Number	Diameter (mm)	Dimension Tol	Thickness (mm)	Thickness Tol	Orientation 	Finish	TTV	Bow	Edge	Min Quantity	Price Each	25 - 49	50 - 99	100 +	Packaging
CQTSHTB270039	150	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	5	25	CNC ground	10	$27.50	$22.00	$23.10	$21.50	Jar Pk
CQTSHTB270040	150	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	5	25	CNC ground	10	$27.10	$21.70	$22.80	$21.20	Jar Pk
CQTSHTB270041	150	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	5	25	CNC ground	10	$27.10	$21.70	$22.80	$21.20	Jar Pk
CQTSHTB270042	150	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	5	25	CNC ground	10	$27.50	$22.00	$23.10	$21.50	Jar Pk
CQTSHTB270043	150	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	5	25	CNC ground	10	$27.10	$21.70	$22.80	$21.20	Jar Pk
CQTSHTB270044	150	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	5	25	CNC ground	10	$27.10	$21.70	$22.80	$21.20	Jar Pk
CQTSHTB270045	150	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	5	25	CNC ground	10	$27.50	$22.00	$23.10	$21.50	Jar Pk
CQTSHTB270046	200	+/- 0.20mm	0.5	+/- 50um	N/A	60/40	10	35	CNC ground	10	$50.00	$40.00	$42.00	$39.00	Jar Pk
CQTSHTB270047	200	+/- 0.20mm	0.5	+/- 50um	N/A	40/20	10	35	CNC ground	10	$50.00	$40.00	$42.00	$39.00	Jar Pk
CQTSHTB270048	200	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	10	35	CNC ground	10	$54.20	$43.40	$45.50	$42.30	Jar Pk
CQTSHTB270049	200	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	10	35	CNC ground	10	$45.90	$36.70	$38.50	$35.80	Jar Pk
CQTSHTB270050	200	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	10	35	CNC ground	10	$45.90	$36.70	$38.50	$35.80	Jar Pk
CQTSHTB270051	200	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	10	35	CNC ground	10	$50.00	$40.00	$42.00	$39.00	Jar Pk
CQTSHTB270052	200	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	10	35	CNC ground	10	$45.90	$36.70	$38.50	$35.80	Jar Pk
CQTSHTB270053	200	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	10	35	CNC ground	10	$45.90	$36.70	$38.50	$35.80	Jar Pk
CQTSHTB270054	200	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	10	35	CNC ground	10	$50.00	$40.00	$42.00	$39.00	Jar Pk
