Item Number,Diameter (mm),Dimension Tol,Thickness (mm),Thickness Tol,Orientation ,Finish,TTV,Bow,Edge,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Packaging
CQTSHTB270036,100,+/- 0.20mm,1.1,+/- 50um,N/A,20/10,3,20,CNC ground,10,$16.50 ,$14.00 ,$13.30 ,$12.90 ,Jar Pk
CQTSHTB270037,150,+/- 0.20mm,0.5,+/- 50um,N/A,60/40,5,25,CNC ground,10,$27.10 ,$22.80 ,$21.70 ,$21.20 ,Jar Pk
CQTSHTB270038,150,+/- 0.20mm,0.5,+/- 50um,N/A,40/20,5,25,CNC ground,10,$28.30 ,$24.00 ,$22.80 ,$22.25 ,Jar Pk
CQTSHTB270039,150,+/- 0.20mm,0.5,+/- 50um,N/A,20/10,5,25,CNC ground,10,$29.50 ,$25.10 ,$24.00 ,$23.50 ,Jar Pk
CQTSHTB270040,150,+/- 0.20mm,0.7,+/- 50um,N/A,60/40,5,25,CNC ground,10,$27.10 ,$22.80 ,$21.70 ,$21.10 ,Jar Pk
CQTSHTB270041,150,+/- 0.20mm,0.7,+/- 50um,N/A,40/20,5,25,CNC ground,10,$27.75 ,$23.50 ,$22.35 ,$21.60 ,Jar Pk
CQTSHTB270042,150,+/- 0.20mm,0.7,+/- 50um,N/A,20/10,5,25,CNC ground,10,$28.80 ,$24.55 ,$23.40 ,$22.70 ,Jar Pk
CQTSHTB270043,150,+/- 0.20mm,1.1,+/- 50um,N/A,60/40,5,25,CNC ground,10,$27.10 ,$22.80 ,$21.70 ,$21.10 ,Jar Pk
CQTSHTB270044,150,+/- 0.20mm,1.1,+/- 50um,N/A,40/20,5,25,CNC ground,10,$27.75 ,$23.50 ,$22.35 ,$21.60 ,Jar Pk
CQTSHTB270045,150,+/- 0.20mm,1.1,+/- 50um,N/A,20/10,5,25,CNC ground,10,$28.80 ,$24.55 ,$23.40 ,$22.70 ,Jar Pk
CQTSHTB270046,200,+/- 0.20mm,0.5,+/- 50um,N/A,60/40,10,35,CNC ground,10,$50.00 ,$42.00 ,$40.00 ,$39.00 ,Jar Pk
CQTSHTB270047,200,+/- 0.20mm,0.5,+/- 50um,N/A,40/20,10,35,CNC ground,10,$51.00 ,$43.00 ,$41.00 ,$39.00 ,Jar Pk
CQTSHTB270048,200,+/- 0.20mm,0.5,+/- 50um,N/A,20/10,10,35,CNC ground,10,$54.20 ,$45.50 ,$43.40 ,$42.30 ,Jar Pk
CQTSHTB270049,200,+/- 0.20mm,0.7,+/- 50um,N/A,60/40,10,35,CNC ground,10,$45.90 ,$38.50 ,$36.70 ,$35.80 ,Jar Pk
CQTSHTB270050,200,+/- 0.20mm,0.7,+/- 50um,N/A,40/20,10,35,CNC ground,10,$46.90 ,$39.50 ,$37.70 ,$35.80 ,Jar Pk
CQTSHTB270051,200,+/- 0.20mm,0.7,+/- 50um,N/A,20/10,10,35,CNC ground,10,$50.00 ,$42.00 ,$40.00 ,$39.00 ,Jar Pk
CQTSHTB270052,200,+/- 0.20mm,1.1,+/- 50um,N/A,60/40,10,35,CNC ground,10,$45.90 ,$38.50 ,$36.70 ,$35.80 ,Jar Pk
CQTSHTB270053,200,+/- 0.20mm,1.1,+/- 50um,N/A,40/20,10,35,CNC ground,10,$46.90 ,$39.50 ,$37.70 ,$35.80 ,Jar Pk
CQTSHTB270054,200,+/- 0.20mm,1.1,+/- 50um,N/A,20/10,10,35,CNC ground,10,$50.00 ,$42.00 ,$40.00 ,$39.00 ,Jar Pk
