Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CGS1023,100,0.5,40/20,10,$14.00 ,$12.90 ,$12.00 ,$11.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.40 
CGS1024,100,0.5,20/10,10,$16.20 ,$15.00 ,$13.90 ,$13.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.70 
CGS1025,100,0.7,80/50,10,$9.50 ,$8.80 ,$8.20 ,$7.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.70 
CGS1026,100,0.7,60/40,10,$11.40 ,$10.50 ,$9.80 ,$9.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.90 
CGS1027,100,0.7,40/20,10,$13.00 ,$12.00 ,$11.10 ,$10.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.80 
CGS1028,100,0.7,20/10,10,$15.00 ,$13.80 ,$12.90 ,$12.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.00 
CGS1029,100,1.1,80/50,10,$10.10 ,$9.30 ,$8.60 ,$8.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.10 
CGS1030,100,1.1,60/40,10,$11.90 ,$11.00 ,$10.20 ,$9.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.10 
CGS1031,100,1.1,40/20,10,$13.50 ,$12.50 ,$11.60 ,$10.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.10 
CGS1032,100,1.1,20/10,10,$15.60 ,$14.40 ,$13.40 ,$12.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.40 
CGS1033,150,0.3,80/50,10,$20.80 ,$19.20 ,$17.90 ,$16.70 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$12.50 
CGS1034,150,0.3,60/40,10,$23.90 ,$22.00 ,$20.50 ,$19.10 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$14.30 
CGS1035,150,0.3,40/20,10,$27.80 ,$25.60 ,$23.80 ,$22.20 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$16.70 
CGS1036,150,0.3,20/10,10,$33.00 ,$30.50 ,$28.30 ,$26.40 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$19.80 
CGS1037,150,0.5,80/50,10,$15.70 ,$14.50 ,$13.40 ,$12.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.40 
CGS1038,150,0.5,60/40,10,$19.00 ,$17.50 ,$16.30 ,$15.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.40 
CGS1039,150,0.5,40/20,10,$21.60 ,$19.90 ,$18.50 ,$17.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$13.00 
CGS1040,150,0.5,20/10,10,$24.90 ,$23.00 ,$21.40 ,$20.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$15.00 
CGS1041,150,0.7,80/50,10,$16.00 ,$14.80 ,$13.70 ,$12.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.60 
CGS1042,150,0.7,60/40,10,$18.60 ,$17.20 ,$15.90 ,$14.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.20 
CGS1043,150,0.7,40/20,10,$21.10 ,$19.50 ,$18.10 ,$16.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$12.70 
CGS1044,150,0.7,20/10,10,$24.40 ,$22.50 ,$20.90 ,$19.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$14.70 
CGS1045,150,1.1,80/50,10,$17.00 ,$15.70 ,$14.60 ,$13.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$10.20 
CGS1046,150,1.1,60/40,10,$19.60 ,$18.10 ,$16.80 ,$15.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.80 
CGS1047,150,1.1,40/20,10,$22.30 ,$20.60 ,$19.10 ,$17.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$13.40 
CGS1048,150,1.1,20/10,10,$25.80 ,$23.80 ,$22.10 ,$20.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$15.50 
CGS1049,200,0.3,80/50,10,$34.30 ,$31.60 ,$29.40 ,$27.40 ,SEMI Notch,+/- 30um,+/- 0.20mm,$20.60 
CGS1050,200,0.3,60/40,10,$39.30 ,$36.30 ,$33.70 ,$31.40 ,SEMI Notch,+/- 30um,+/- 0.20mm,$23.60 
CGS1051,200,0.3,40/20,10,$45.80 ,$42.30 ,$39.30 ,$36.60 ,SEMI Notch,+/- 30um,+/- 0.20mm,$27.50 
CGS1052,200,0.3,20/10,10,$54.50 ,$50.30 ,$46.70 ,$43.60 ,SEMI Notch,+/- 30um,+/- 0.20mm,$32.70 
CGS1053,200,0.5,80/50,10,$23.00 ,$21.20 ,$19.70 ,$18.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,$13.80 
CGS1054,200,0.5,60/40,10,$26.50 ,$24.40 ,$22.70 ,$21.20 ,SEMI Notch,+/- 50um,+/- 0.20mm,$15.90 
CGS1055,200,0.5,40/20,10,$30.20 ,$27.80 ,$25.90 ,$24.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$18.10 
CGS1056,200,0.5,20/10,10,$35.00 ,$32.30 ,$30.00 ,$28.00 ,SEMI Notch,+/- 50um,+/- 0.20mm,$21.00 
CGS1057,200,0.7,80/50,10,$25.20 ,$23.20 ,$21.60 ,$20.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$15.10 
CGS1058,200,0.7,60/40,10,$27.30 ,$25.20 ,$23.40 ,$21.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$16.40 
CGS1059,200,0.7,40/20,10,$31.10 ,$28.80 ,$26.70 ,$24.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$18.70 
CGS1060,200,0.7,20/10,10,$36.10 ,$33.30 ,$31.00 ,$28.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$21.70 
CGS1061,200,1.1,80/50,10,$26.60 ,$24.50 ,$22.80 ,$21.30 ,SEMI Notch,+/- 50um,+/- 0.20mm,$16.00 
CGS1062,200,1.1,60/40,10,$29.60 ,$27.30 ,$25.40 ,$23.70 ,SEMI Notch,+/- 50um,+/- 0.20mm,$17.80 
CGS1063,200,1.1,40/20,10,$33.80 ,$31.20 ,$29.00 ,$27.00 ,SEMI Notch,+/- 50um,+/- 0.20mm,$20.30 
CGS1064,200,1.1,20/10,10,$39.20 ,$36.20 ,$33.60 ,$31.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,$23.50 
