Item Number,Description,OD (mm),OD Tol,Wall,Wall Tol,ID (mm),Stock Length,Pcs/Case,,Stemmerich Pricing,, Full Length Price ,Price/inch,Price Each,
244360C,TUBING (STANDARD),130,1.8,3,0.3,124,1500,2,$101.45 ,$7.74 ,$92.88 ,$144.93 ,$11.06 ,$132.69 ,
244370C,TUBING (STANDARD),140,2,3.5,0.4,133,1500,2,$130.36 ,$9.94 ,$119.28 ,$186.23 ,$14.20 ,$170.40 ,
244380C,TUBING (STANDARD),38,0.7,2,0.2,34,1500,16,$13.39 ,$1.02 ,$12.24 ,$19.13 ,$1.46 ,$17.49 ,
244390C,TUBING (STANDARD),150,2.01,3.5,0.36,142.98,1500,1,$133.84 ,$10.21 ,$122.52 ,$191.20 ,$14.59 ,$175.03 ,
244410C,TUBING (STANDARD),41,0.9,2,0.2,37,1500,16,$13.74 ,$1.05 ,$12.60 ,$19.63 ,$1.50 ,$18.00 ,
244450C,TUBING (STANDARD),45,1,2,0.2,41,1500,16,$15.36 ,$1.17 ,$14.04 ,$21.94 ,$1.67 ,$20.06 ,
244480C,TUBING (STANDARD),48,1,2,0.2,44,1500,9,$19.49 ,$1.49 ,$17.88 ,$27.84 ,$2.13 ,$25.54 ,
244510C,TUBING (STANDARD),51,1,2,0.2,47,1500,9,$18.72 ,$1.43 ,$17.16 ,$26.74 ,$2.04 ,$24.51 ,
244540C,TUBING (STANDARD),54,1,2.4,0.2,49.2,1500,9,$25.91 ,$1.98 ,$23.76 ,$37.01 ,$2.83 ,$33.94 ,
244570C,TUBING (STANDARD),57,1,2.4,0.2,52.2,1500,4,$27.51 ,$2.10 ,$25.20 ,$39.30 ,$3.00 ,$36.00 ,
244600C,TUBING (STANDARD),60,1.1,2.4,0.23,55.2,1500,12,$28.71 ,$2.19 ,$26.28 ,$41.01 ,$3.13 ,$37.54 ,
244640C,TUBING (STANDARD),64,1.2,2.4,0.23,59.2,1500,8,$15.66 ,$1.19 ,$14.28 ,$22.37 ,$1.70 ,$20.40 ,
244700C,TUBING (STANDARD),70,1.2,2.4,0.23,65.2,1500,8,$35.68 ,$2.72 ,$32.64 ,$50.97 ,$3.89 ,$46.63 ,
244750C,TUBING (STANDARD),75,1.3,2.4,0.23,70.2,1500,4,$36.72 ,$2.80 ,$33.60 ,$52.46 ,$4.00 ,$48.00 ,
244800C,TUBING (STANDARD),80,1.3,2.4,0.23,75.2,1500,4,$42.35 ,$3.23 ,$38.76 ,$60.50 ,$4.61 ,$55.37 ,
244850C,TUBING (STANDARD),85,1.3,2.4,0.23,80.2,1500,4,$43.88 ,$3.35 ,$40.20 ,$62.69 ,$4.79 ,$57.43 ,
244900C,TUBING (STANDARD),90,1.3,2.4,0.23,85.2,1500,4,$50.79 ,$3.87 ,$46.44 ,$72.56 ,$5.53 ,$66.34 ,
244950C,TUBING (STANDARD),95,1.4,2.4,0.23,90.2,1500,4,$50.91 ,$3.88 ,$46.56 ,$72.73 ,$5.54 ,$66.51 ,
245510C,TUBING H W,19.1,0.3,3.2,0.33,12.74,1500,36,$8.65 ,$0.66 ,$7.92 ,$12.36 ,$0.94 ,$11.31 ,
246510C,TUBING (CAPILLARY),5.5,0.4,2.5,,0.5,1500,210,$1.55 ,$0.12 ,$1.44 ,$2.21 ,$0.17 ,$2.06 ,
246520C,TUBING (CAPILLARY),6.5,0.4,2.76,,1,1500,145,$2.12 ,$0.16 ,$1.92 ,$3.03 ,$0.23 ,$2.74 ,
246521C,TUBING (CAPILLARY),6.5,0.4,2.63,,1.25,1500,145,$2.06 ,$0.16 ,$1.92 ,$2.94 ,$0.23 ,$2.74 ,
246522C,TUBING (CAPILLARY),7,0.4,2.13,,2.75,1500,122,$2.05 ,$0.16 ,$1.92 ,$2.93 ,$0.23 ,$2.74 ,
246523C,TUBING (CAPILLARY),8,0.4,2.31,,3.38,1500,100,$2.63 ,$0.20 ,$2.40 ,$3.76 ,$0.29 ,$3.43 ,
246530C,TUBING (CAPILLARY),7.5,0.4,3,,1.5,1500,110,$2.64 ,$0.20 ,$2.40 ,$3.77 ,$0.29 ,$3.43 ,
246540C,TUBING (CAPILLARY),7.5,0.4,2.88,,1.75,1500,110,$2.64 ,$0.20 ,$2.40 ,$3.77 ,$0.29 ,$3.43 ,
246560C,TUBING (CAPILLARY),9,0.4,3.31,,2.39,1500,81,$3.66 ,$0.28 ,$3.36 ,$5.23 ,$0.40 ,$4.80 ,
247300C,TUBING (MEDIUM) ,6.3,0.3,1.2,0.1,4.02,1500,145,$1.29 ,$0.10 ,$1.20 ,$1.84 ,$0.14 ,$1.71 ,
247310C,TUBING (MEDIUM) ,12.7,0.3,1.6,0.16,9.5,1500,81,$2.85 ,$0.22 ,$2.64 ,$4.07 ,$0.31 ,$3.77 ,
247315C,TUBING (MEDIUM) ,15.9,0.3,1.6,0.16,12.7,1500,49,$4.10 ,$0.31 ,$3.72 ,$5.86 ,$0.44 ,$5.31 ,
247320C,TUBING (MEDIUM) ,19,0.3,1.6,0.16,15.8,1500,36,$4.69 ,$0.36 ,$4.32 ,$6.70 ,$0.51 ,$6.17 ,
247330C,TUBING (MEDIUM) ,25.4,0.41,2.4,0.23,20.62,1500,25,$9.36 ,$0.71 ,$8.52 ,$13.37 ,$1.01 ,$12.17 ,
247340C,TUBING (MEDIUM) ,31.8,0.7,2.4,0.23,27,1500,16,$12.04 ,$0.92 ,$11.04 ,$17.20 ,$1.31 ,$15.77 ,
247350C,TUBING (MEDIUM) ,38.1,0.7,2.4,0.23,33.3,1500,16,$15.46 ,$1.18 ,$14.16 ,$22.09 ,$1.69 ,$20.23 ,
247360C,TUBING H W,22.2,0.41,3.2,0.36,15.84,1500,36,$10.33 ,$0.79 ,$9.48 ,$14.76 ,$1.13 ,$13.54 ,
247370C,TUBING (MEDIUM) ,44.4,1,2.4,0.23,39.72,1500,9,$17.85 ,$1.36 ,$16.32 ,$25.50 ,$1.94 ,$23.31 ,
247380C,TUBING (MEDIUM) ,50.8,1,3.2,0.3,44.4,1500,9,$31.48 ,$2.40 ,$28.80 ,$44.97 ,$3.43 ,$41.14 ,
247390C,TUBING (MEDIUM) ,57.1,1,3.2,0.33,50.8,1500,4,$38.47 ,$2.93 ,$35.16 ,$54.96 ,$4.19 ,$50.23 ,
247400C,TUBING (MEDIUM) ,63.5,1.35,3.2,0.33,57.1,1500,4,$42.84 ,$3.27 ,$39.24 ,$61.20 ,$4.67 ,$56.06 ,
247410C,TUBING (MEDIUM) ,69.8,1.42,3.2,0.33,63.5,1500,8,$45.52 ,$3.47 ,$41.64 ,$65.03 ,$4.96 ,$59.49 ,
247420C,TUBING (MEDIUM) ,76.2,1.5,3.2,0.33,69.8,1500,4,$54.73 ,$4.17 ,$50.04 ,$78.19 ,$5.96 ,$71.49 ,
247430C,TUBING (MEDIUM) ,82.5,1.57,3.2,0.33,76.1,1500,4,$61.80 ,$4.71 ,$56.52 ,$88.29 ,$6.73 ,$80.74 ,
247440C,TUBING (MEDIUM) ,88.9,1.65,3.2,0.33,82.5,1500,4,$68.00 ,$5.19 ,$62.28 ,$97.14 ,$7.41 ,$88.97 ,
247450C,TUBING (MEDIUM) ,101.6,1.78,4.8,0.48,92.04,1500,3,$122.55 ,$9.35 ,$112.20 ,$175.07 ,$13.36 ,$160.29 ,
247460C,TUBING (MEDIUM) ,114.3,1.8,4.8,0.48,104.7,1500,3,$140.55 ,$10.72 ,$128.64 ,$200.79 ,$15.31 ,$183.77 ,
247500C,TUBING H W,12.7,0.3,2.4,0.2,7.9,1500,81,$4.04 ,$0.31 ,$3.72 ,$5.77 ,$0.44 ,$5.31 ,
247520C,TUBING H W,25.4,0.4,4,0.4,17.4,1500,25,$14.83 ,$1.13 ,$13.56 ,$21.19 ,$1.61 ,$19.37 ,
247530C,TUBING H W,31.7,0.7,4,0.4,23.7,1500,16,$18.96 ,$1.45 ,$17.40 ,$27.09 ,$2.07 ,$24.86 ,
247540C,TUBING H W,38.1,0.7,4,0.4,30.1,1500,16,$28.03 ,$2.14 ,$25.68 ,$40.04 ,$3.06 ,$36.69 ,
247550C,TUBING H W,44.4,1,4,0.4,36.4,1500,9,$37.00 ,$2.82 ,$33.84 ,$52.86 ,$4.03 ,$48.34 ,
247560C,TUBING H W,50.8,1,4.8,0.5,41.2,1500,9,$51.08 ,$3.90 ,$46.80 ,$72.97 ,$5.57 ,$66.86 ,
247570C,TUBING H W,57.1,1,4.8,0.5,47.5,1500,4,$60.31 ,$4.60 ,$55.20 ,$86.16 ,$6.57 ,$78.86 ,
247580C,TUBING H W,63.5,1.35,4.8,0.5,53.9,1500,4,$70.79 ,$5.40 ,$64.80 ,$101.13 ,$7.71 ,$92.57 ,
247590C,TUBING H W,69.9,1.42,4.8,0.5,60.3,1500,4,$165.15 ,$12.60 ,$151.20 ,$235.93 ,$18.00 ,$216.00 ,
247600C,TUBING H W,76.2,1.5,4.8,0.5,66.6,1500,4,$88.33 ,$6.74 ,$80.88 ,$126.19 ,$9.63 ,$115.54 ,
247610C,TUBING H W,82.6,1.57,4.8,0.5,73,1500,4,$97.62 ,$7.45 ,$89.40 ,$139.46 ,$10.64 ,$127.71 ,
247620C,TUBING H W,88.9,1.65,4.8,0.5,79.3,1500,4,$110.79 ,$8.45 ,$101.40 ,$158.27 ,$12.07 ,$144.86 ,
247630C,TUBING H W,101.6,1.65,6.4,0.64,88.8,1500,3,$177.39 ,$13.53 ,$162.36 ,$253.41 ,$19.33 ,$231.94 ,
247640C,TUBING H W,114.3,1.65,6.4,0.64,101.5,1500,3,$203.06 ,$15.49 ,$185.88 ,$290.09 ,$22.13 ,$265.54 ,
247650C,TUBING H W,9.5,0.3,2,0.2,5.5,1500,68,$3.10 ,$0.24 ,$2.88 ,$4.43 ,$0.34 ,$4.11 ,
247660C,TUBING H W,15.9,0.3,2.4,0.2,11.1,1500,49,$5.51 ,$0.42 ,$5.04 ,$7.87 ,$0.60 ,$7.20 ,
247670C,TUBING H W,127,1.65,6.4,0.64,114.2,1500,3,$227.58 ,$17.35 ,$208.20 ,$325.11 ,$24.79 ,$297.43 ,
247680C,TUBING H W,139.7,2.01,6.4,0.64,126.9,1500,2,$246.24 ,$18.78 ,$225.36 ,$351.77 ,$26.83 ,$321.94 ,
247690C,TUBING H W,152.4,2,7.9,0.9,136.6,1500,1,$343.40 ,$26.19 ,$314.28 ,$490.57 ,$37.41 ,$448.97 ,
247700C,TUBING H W,165.1,2,7.9,0.9,149.3,1500,1,$355.56 ,$27.12 ,$325.44 ,$507.94 ,$38.74 ,$464.91 ,
249200C,ROD,25.4,1,,,,1500,9,$37.28 ,$2.84 ,$34.08 ,$53.26 ,$4.06 ,$48.69 ,
249210C,ROD,31.7,1.3,,,,1500,4,$76.22 ,$5.81 ,$69.72 ,$108.89 ,$8.30 ,$99.60 ,
249211C,ROD,38.1,1.7,,,,1500,4,$118.39 ,$9.03 ,$108.36 ,$169.13 ,$12.90 ,$154.80 ,
249212C,ROD,11,0.4,,,,1500,50,$5.41 ,$0.41 ,$4.92 ,$7.73 ,$0.59 ,$7.03 ,
249213C,ROD,45.7,2.4,,,,1500,4,$183.56 ,$14.00 ,$168.00 ,$262.23 ,$20.00 ,$240.00 ,
249250C,ROD,12.7,0.5,,,,1500,36,$7.39 ,$0.56 ,$6.72 ,$10.56 ,$0.80 ,$9.60 ,
249260C,ROD,15.9,0.6,,,,1500,16,$12.31 ,$0.94 ,$11.28 ,$17.59 ,$1.34 ,$16.11 ,
249270C,ROD,19,0.8,,,,1500,16,$17.55 ,$1.34 ,$16.08 ,$25.07 ,$1.91 ,$22.97 ,
249400C,ROD,10,0.4,,,,1500,64,$4.42 ,$0.34 ,$4.08 ,$6.31 ,$0.49 ,$5.83 ,
249430C,ROD,3,0.4,,,,1500,700,$0.63 ,$0.05 ,$0.60 ,$0.90 ,$0.07 ,$0.86 ,
249440C,ROD,4,0.4,,,,1500,400,$1.00 ,$0.08 ,$0.96 ,$1.43 ,$0.11 ,$1.37 ,
249450C,ROD,5,0.4,,,,1500,256,$1.45 ,$0.12 ,$1.44 ,$2.07 ,$0.17 ,$2.06 ,
249460C,ROD,6,0.4,,,,1500,170,$1.61 ,$0.13 ,$1.56 ,$2.30 ,$0.19 ,$2.23 ,
249470C,ROD,7,0.4,,,,1500,121,$2.15 ,$0.17 ,$2.04 ,$3.07 ,$0.24 ,$2.91 ,
249480C,ROD,8,0.4,,,,1500,100,$2.83 ,$0.22 ,$2.64 ,$4.04 ,$0.31 ,$3.77 ,
249490C,ROD,9,0.4,,,,1500,81,$3.61 ,$0.28 ,$3.36 ,$5.16 ,$0.40 ,$4.80 ,
